Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STATE,Geo_COUNTY,Geo_TRACT,avg_commute_min,occupied_units,no_veh,percent_no_veh,workers_over16,public_transport,ratio_pub_trans
06037115302,14000US06037115302,Census Tract 1153.02,"Census Tract 1153.02, Los Angeles County, California",06,037,115302,29,1054,88,0.08,1913,195,0.10
06037115401,14000US06037115401,Census Tract 1154.01,"Census Tract 1154.01, Los Angeles County, California",06,037,115401,31,1923,95,0.05,2969,127,0.04
06037115403,14000US06037115403,Census Tract 1154.03,"Census Tract 1154.03, Los Angeles County, California",06,037,115403,34,1036,31,0.03,1711,143,0.08
06037115404,14000US06037115404,Census Tract 1154.04,"Census Tract 1154.04, Los Angeles County, California",06,037,115404,26,836,23,0.03,1406,110,0.08
06037117101,14000US06037117101,Census Tract 1171.01,"Census Tract 1171.01, Los Angeles County, California",06,037,117101,31,1419,56,0.04,2624,147,0.06
06037117102,14000US06037117102,Census Tract 1171.02,"Census Tract 1171.02, Los Angeles County, California",06,037,117102,33,820,23,0.03,1389,41,0.03
06037117201,14000US06037117201,Census Tract 1172.01,"Census Tract 1172.01, Los Angeles County, California",06,037,117201,28,1197,151,0.13,1780,126,0.07
06037117202,14000US06037117202,Census Tract 1172.02,"Census Tract 1172.02, Los Angeles County, California",06,037,117202,35,769,46,0.06,1098,17,0.02
06037117301,14000US06037117301,Census Tract 1173.01,"Census Tract 1173.01, Los Angeles County, California",06,037,117301,37,1244,47,0.04,2072,90,0.04
06037117302,14000US06037117302,Census Tract 1173.02,"Census Tract 1173.02, Los Angeles County, California",06,037,117302,34,1712,144,0.08,2408,108,0.04
06037117303,14000US06037117303,Census Tract 1173.03,"Census Tract 1173.03, Los Angeles County, California",06,037,117303,35,1030,18,0.02,1685,73,0.04
06037117404,14000US06037117404,Census Tract 1174.04,"Census Tract 1174.04, Los Angeles County, California",06,037,117404,31,1347,12,0.01,2410,77,0.03
06037117405,14000US06037117405,Census Tract 1174.05,"Census Tract 1174.05, Los Angeles County, California",06,037,117405,27,856,98,0.11,1652,208,0.13
06037117407,14000US06037117407,Census Tract 1174.07,"Census Tract 1174.07, Los Angeles County, California",06,037,117407,33,972,159,0.16,1499,242,0.16
06037117408,14000US06037117408,Census Tract 1174.08,"Census Tract 1174.08, Los Angeles County, California",06,037,117408,31,858,125,0.15,1384,149,0.11
06037117510,14000US06037117510,Census Tract 1175.10,"Census Tract 1175.10, Los Angeles County, California",06,037,117510,36,1006,160,0.16,1749,279,0.16
06037117520,14000US06037117520,Census Tract 1175.20,"Census Tract 1175.20, Los Angeles County, California",06,037,117520,31,1053,133,0.13,1839,288,0.16
06037117530,14000US06037117530,Census Tract 1175.30,"Census Tract 1175.30, Los Angeles County, California",06,037,117530,38,1622,216,0.13,3323,253,0.08
06037119001,14000US06037119001,Census Tract 1190.01,"Census Tract 1190.01, Los Angeles County, California",06,037,119001,36,959,26,0.03,2067,193,0.09
06037119002,14000US06037119002,Census Tract 1190.02,"Census Tract 1190.02, Los Angeles County, California",06,037,119002,31,1675,143,0.09,3993,71,0.02
06037119201,14000US06037119201,Census Tract 1192.01,"Census Tract 1192.01, Los Angeles County, California",06,037,119201,30,894,54,0.06,1910,103,0.05
